usuario_id,sector,ciudad,edad,genero,dispositivo,nivel_formativo,plan_acceso,formato,progreso_percent,dias_inactivo,interacciones,evaluaciones_completadas,tiempo_total_horas,n_sesiones,abandono
U00001,corporativa,Zaragoza,36,Otro,móvil,básico,gratuito,híbrido,65.5,3,89,1,13.43,11,0
U00002,universitaria,Bilbao,32,F,escritorio,básico,subvencionado,híbrido,62.1,1,45,4,31.34,25,0
U00003,subvencionada,Valencia,53,Otro,tablet,avanzado,empresa,en vivo,84.1,3,92,3,55.1,22,0
U00004,corporativa,Zaragoza,47,M,escritorio,intermedio,subvencionado,híbrido,59.6,5,78,4,58.85,27,0
U00005,subvencionada,Sevilla,50,Otro,tablet,intermedio,subvencionado,en vivo,52.1,4,16,4,54.2,29,0
U00006,subvencionada,Madrid,41,F,móvil,intermedio,subvencionado,híbrido,91.5,1,41,0,36.84,29,0
U00007,subvencionada,Barcelona,28,F,escritorio,básico,privado,asincrónico,23.2,3,12,4,8.56,18,0
U00008,corporativa,Sevilla,19,M,escritorio,intermedio,gratuito,híbrido,28.5,4,60,1,9.22,26,0
U00009,subvencionada,Valencia,21,F,móvil,intermedio,gratuito,híbrido,27.3,5,55,4,9.4,23,0
U00010,corporativa,Sevilla,19,F,tablet,básico,subvencionado,asincrónico,45.3,3,60,2,34.41,27,0
U00011,universitaria,Barcelona,33,M,tablet,básico,subvencionado,híbrido,44.1,7,71,0,0.55,16,0
U00012,subvencionada,Madrid,42,M,móvil,básico,gratuito,en vivo,42.0,3,41,1,2.39,15,0
U00013,universitaria,Sevilla,48,F,escritorio,básico,gratuito,asincrónico,28.4,0,84,4,1.29,1,0
U00014,subvencionada,Zaragoza,51,M,tablet,intermedio,gratuito,asincrónico,59.4,3,24,2,5.01,19,0
U00015,corporativa,Zaragoza,47,M,tablet,básico,gratuito,asincrónico,48.4,1,31,0,26.87,23,0
U00016,subvencionada,Barcelona,23,F,tablet,avanzado,subvencionado,híbrido,36.1,2,38,4,4.32,20,0
U00017,corporativa,Barcelona,24,Otro,escritorio,intermedio,privado,asincrónico,29.4,4,32,2,3.9,15,0
U00018,universitaria,Bilbao,18,F,tablet,básico,gratuito,asincrónico,53.8,3,35,4,3.71,8,0
U00019,subvencionada,Zaragoza,56,M,tablet,avanzado,gratuito,en vivo,30.8,3,20,2,13.84,2,0
U00020,corporativa,Bilbao,27,F,móvil,avanzado,gratuito,híbrido,16.8,3,37,2,5.26,14,0
U00021,universitaria,Zaragoza,39,M,móvil,intermedio,subvencionado,en vivo,39.5,2,74,1,8.88,10,0
U00022,corporativa,Sevilla,39,F,escritorio,básico,empresa,asincrónico,37.7,2,92,3,2.23,2,0
U00023,universitaria,Zaragoza,27,M,móvil,avanzado,gratuito,híbrido,46.7,1,39,0,4.36,8,0
U00024,subvencionada,Bilbao,39,F,escritorio,intermedio,privado,en vivo,70.6,4,13,4,42.28,22,0
U00025,universitaria,Madrid,19,Otro,escritorio,avanzado,gratuito,híbrido,48.6,3,12,3,6.36,13,0
U00026,corporativa,Barcelona,28,Otro,móvil,intermedio,empresa,en vivo,48.4,0,51,4,8.29,7,0
U00027,subvencionada,Bilbao,46,Otro,móvil,avanzado,privado,híbrido,37.3,2,96,4,34.27,9,0
U00028,universitaria,Valencia,37,F,móvil,intermedio,empresa,en vivo,44.1,3,92,2,4.5,6,0
U00029,corporativa,Zaragoza,46,M,tablet,avanzado,privado,asincrónico,77.4,2,47,4,21.32,8,0
